MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
QUESTION #0    | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
QUESTION #14   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0469, -0.0881, -0.0879, -0.0829, -0.0356]
QUESTION #15   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0589, -0.0914, -0.0892, -0.1023, -0.0981]
QUESTION #16   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0625, -0.088, -0.09, -0.0866, -0.0415]
QUESTION #17   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0787, -0.076, -0.0755, -0.078, -0.0535]
QUESTION #18   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0654, -0.0692, -0.065, -0.0811, -0.0441]
QUESTION #19   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.054, -0.0672, -0.0927, -0.0635, -0.0721]
QUESTION #20   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0485, -0.0931, -0.0792, -0.0865, -0.0435]
QUESTION #21   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0446, -0.0676, -0.0904, -0.0693, -0.055]
QUESTION #22   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0493, -0.065, -0.0687, -0.0689, -0.0639]
QUESTION #23   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0613, -0.0869, -0.077, -0.1, -0.1001]
QUESTION #24   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0778, -0.0803, -0.0845, -0.0776, -0.0469]
QUESTION #25   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0418, -0.0594, -0.0863, -0.0624, -0.0531]
QUESTION #26   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.089, -0.0749, -0.073, -0.0887, -0.0558]
QUESTION #27   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0603, -0.0702, -0.0653, -0.092, -0.1059]
QUESTION #28   | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0564, -0.0737, -0.0715, -0.0903, -0.0761]
QUESTION #29   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0553, -0.0668, -0.0699, -0.0814, -0.0777]
QUESTION #30   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0959, -0.0788, -0.0782, -0.0936, -0.0525]
QUESTION #31   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0613, -0.0743, -0.0754, -0.0859, -0.087]
QUESTION #32   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0475, -0.0646, -0.0714, -0.0693, -0.081]
QUESTION #33   | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0559, -0.0853, -0.0821, -0.0923, -0.0804]
QUESTION #34   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0532, -0.063, -0.0673, -0.0732, -0.0763]
QUESTION #35   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0679, -0.0739, -0.0767, -0.0703, -0.0692]
QUESTION #36   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0569, -0.0979, -0.0839, -0.1103, -0.1227]
QUESTION #37   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0534, -0.0984, -0.0844, -0.1086, -0.1162]
QUESTION #38   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0788, -0.0803, -0.0736, -0.0884, -0.0449]
QUESTION #39   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0314, -0.0876, -0.0926, -0.1089, -0.0833]
QUESTION #40   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0608, -0.0712, -0.093, -0.0661, -0.0791]
QUESTION #41   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0564, -0.0803, -0.0754, -0.0954, -0.0423]
QUESTION #42   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0533, -0.0803, -0.0715, -0.0898, -0.0409]
QUESTION #43   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0887, -0.0777, -0.0814, -0.0864, -0.0544]
QUESTION #44   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0488, -0.0897, -0.0888, -0.0917, -0.0364]
QUESTION #45   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0591, -0.0887, -0.0765, -0.1061, -0.1023]
QUESTION #46   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0473, -0.063, -0.0696, -0.0747, -0.0744]
QUESTION #47   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.041, -0.071, -0.0731, -0.0977, -0.0777]
QUESTION #48   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0312, -0.0758, -0.098, -0.0646, -0.0287]
QUESTION #49   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0608, -0.1046, -0.1, -0.1228, -0.1362]
QUESTION #50   | TRAIT: N | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0585, -0.0665, -0.0702, -0.0799, -0.0885]
QUESTION #51   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0438, -0.0569, -0.0787, -0.0563, -0.054]
QUESTION #52   | TRAIT: O | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0897, -0.0914, -0.0959, -0.0895, -0.0589]
QUESTION #53   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0656, -0.0831, -0.0773, -0.0973, -0.0454]
QUESTION #54   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0592, -0.08, -0.074, -0.0912, -0.0411]
QUESTION #55   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0745, -0.0769, -0.0776, -0.0867, -0.0562]
QUESTION #56   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0469, -0.063, -0.0698, -0.0721, -0.0717]
QUESTION #57   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0709, -0.1142, -0.0929, -0.117, -0.1048]
QUESTION #58   | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0395, -0.0936, -0.0943, -0.1121, -0.0882]
QUESTION #59   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.058, -0.0777, -0.0842, -0.078, -0.0388]
QUESTION #60   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0569, -0.0665, -0.0738, -0.0819, -0.0784]
QUESTION #61   | TRAIT: E | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0734, -0.0748, -0.0758, -0.0856, -0.042]
QUESTION #62   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0729, -0.0719, -0.0744, -0.0859, -0.0495]
QUESTION #63   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0803, -0.0778, -0.0778, -0.0821, -0.0472]
QUESTION #64   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0892, -0.0891, -0.0881, -0.0831, -0.0498]
QUESTION #65   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0434, -0.0931, -0.0926, -0.0909, -0.038]
QUESTION #66   | TRAIT: E | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0875, -0.0683, -0.0726, -0.0826, -0.0487]
QUESTION #67   | TRAIT: O | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0565, -0.0746, -0.0631, -0.0772, -0.0398]
QUESTION #68   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0603, -0.0876, -0.0843, -0.1027, -0.0469]
QUESTION #69   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0746, -0.1095, -0.0961, -0.1125, -0.1144]
QUESTION #70   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0665, -0.0919, -0.0806, -0.1247, -0.127]
QUESTION #71   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0491, -0.09, -0.083, -0.1061, -0.0454]
QUESTION #72   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0538, -0.0579, -0.0646, -0.0737, -0.0774]
QUESTION #73   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0576, -0.0777, -0.0702, -0.0993, -0.101]
QUESTION #74   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0628, -0.0748, -0.0979, -0.0716, -0.0803]
QUESTION #75   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.05, -0.0638, -0.065, -0.0699, -0.0696]
QUESTION #76   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0467, -0.0783, -0.0764, -0.0997, -0.0857]
QUESTION #77   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0479, -0.0659, -0.0867, -0.0647, -0.0613]
QUESTION #78   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.064, -0.07, -0.095, -0.0651, -0.0664]
QUESTION #79   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0482, -0.0725, -0.0695, -0.0867, -0.0784]
QUESTION #80   | TRAIT: N | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0947, -0.0767, -0.0764, -0.0889, -0.0589]
QUESTION #81   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0753, -0.0837, -0.086, -0.0866, -0.0609]
QUESTION #82   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0413, -0.0559, -0.0698, -0.0638, -0.0608]
QUESTION #83   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0696, -0.0986, -0.0841, -0.1124, -0.1234]
QUESTION #84   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0557, -0.0869, -0.0858, -0.0804, -0.0379]
QUESTION #85   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0355, -0.084, -0.087, -0.1022, -0.0775]
QUESTION #86   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0653, -0.064, -0.0847, -0.0601, -0.0454]
QUESTION #87   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0601, -0.0705, -0.0698, -0.0887, -0.106]
QUESTION #88   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0634, -0.1118, -0.0991, -0.1207, -0.1317]
QUESTION #89   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0414, -0.098, -0.0953, -0.0948, -0.0367]
QUESTION #90   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0733, -0.0756, -0.0768, -0.0824, -0.0567]
QUESTION #91   | TRAIT: E | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0595, -0.0683, -0.0688, -0.076, -0.0834]
QUESTION #92   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0578, -0.0899, -0.0852, -0.1005, -0.0946]
QUESTION #93   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0558, -0.0723, -0.0918, -0.0677, -0.0676]
QUESTION #94   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.052, -0.081, -0.0814, -0.0958, -0.0917]
QUESTION #95   | TRAIT: N | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0852, -0.072, -0.0729, -0.0793, -0.0522]
QUESTION #96   | TRAIT: E | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.067, -0.0682, -0.0869, -0.0621, -0.0539]
QUESTION #97   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.059, -0.0848, -0.0708, -0.0998, -0.0958]
QUESTION #98   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0563, -0.0824, -0.0742, -0.1057, -0.1057]
QUESTION #99   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0813, -0.0747, -0.0736, -0.0799, -0.0499]
QUESTION #100  | TRAIT: N | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0595, -0.0898, -0.0844, -0.1006, -0.046]
QUESTION #101  | TRAIT: E | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0501, -0.0733, -0.0718, -0.0926, -0.084]
QUESTION #102  | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0488, -0.0661, -0.0751, -0.0897, -0.0668]
QUESTION #103  | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0527, -0.0667, -0.0706, -0.0763, -0.0777]
QUESTION #104  | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0429, -0.0914, -0.0909, -0.0849, -0.0344]
QUESTION #105  | TRAIT: N | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0616, -0.0852, -0.0809, -0.1058, -0.1055]
QUESTION #106  | TRAIT: E | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0626, -0.0733, -0.074, -0.0859, -0.0941]
QUESTION #107  | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0533, -0.0675, -0.0736, -0.0788, -0.0881]
QUESTION #108  | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0343, -0.0879, -0.078, -0.1021, -0.0401]
QUESTION #109  | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0522, -0.0869, -0.0777, -0.1049, -0.0944]
QUESTION #110  | TRAIT: N | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0535, -0.0736, -0.0699, -0.0976, -0.0841]
QUESTION #111  | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0798, -0.0823, -0.0791, -0.081, -0.0655]
QUESTION #112  | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0667, -0.0935, -0.0931, -0.1107, -0.1044]
QUESTION #113  | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0574, -0.0594, -0.0639, -0.0733, -0.0783]
QUESTION #114  | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0855, -0.0851, -0.0839, -0.0907, -0.0499]
QUESTION #115  | TRAIT: N | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0736, -0.0803, -0.0794, -0.0915, -0.044]
QUESTION #116  | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0582, -0.0814, -0.0703, -0.0998, -0.0953]
QUESTION #117  | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0612, -0.089, -0.0851, -0.1212, -0.0971]
QUESTION #118  | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0459, -0.0612, -0.0603, -0.0816, -0.0715]
QUESTION #119  | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0525, -0.0831, -0.0862, -0.0792, -0.0375]
--------------------------------------
OCEAN SCORES STATS
O | MEAN: 2.5      | STD: 1.97814
C | MEAN: 3.0      | STD: 2.04302
E | MEAN: 2.83333  | STD: 2.03591
A | MEAN: 2.5      | STD: 1.97814
N | MEAN: 3.16667  | STD: 2.03591
--------------------------------------
OTHER INTERESTING STATS
ANSWERS                             | Count
(A) Very Accurate                   |   67
(B) Moderately Accurate             |   0
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   53
--------------------------------------
TRAITS-LEVEL STATS: 
Trait: O | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS                             | Count
(A) Very Accurate                   |   7
(B) Moderately Accurate             |   0
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   5

> CHOICES DISTRIBUTION [-]
ANSWERS                             | Count
(A) Very Accurate                   |   10
(B) Moderately Accurate             |   0
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   2

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  15 |   0 |   0 |   0 |   9 |
+-----+-----+-----+-----+-----+


Trait: C | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS                             | Count
(A) Very Accurate                   |   5
(B) Moderately Accurate             |   0
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   6

> CHOICES DISTRIBUTION [-]
ANSWERS                             | Count
(A) Very Accurate                   |   6
(B) Moderately Accurate             |   0
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   7

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  12 |   0 |   0 |   0 |  12 |
+-----+-----+-----+-----+-----+


Trait: E | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS                             | Count
(A) Very Accurate                   |   8
(B) Moderately Accurate             |   0
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   10

> CHOICES DISTRIBUTION [-]
ANSWERS                             | Count
(A) Very Accurate                   |   3
(B) Moderately Accurate             |   0
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   3

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  13 |   0 |   0 |   0 |  11 |
+-----+-----+-----+-----+-----+


Trait: A | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS                             | Count
(A) Very Accurate                   |   4
(B) Moderately Accurate             |   0
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   3

> CHOICES DISTRIBUTION [-]
ANSWERS                             | Count
(A) Very Accurate                   |   12
(B) Moderately Accurate             |   0
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   5

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  15 |   0 |   0 |   0 |   9 |
+-----+-----+-----+-----+-----+


Trait: N | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS                             | Count
(A) Very Accurate                   |   9
(B) Moderately Accurate             |   0
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   8

> CHOICES DISTRIBUTION [-]
ANSWERS                             | Count
(A) Very Accurate                   |   3
(B) Moderately Accurate             |   0
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   4

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  11 |   0 |   0 |   0 |  13 |
+-----+-----+-----+-----+-----+


