MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
QUESTION #0    | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E)
QUESTION #20   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1164, -0.1208, -0.1276, -0.1212, -0.1124]
QUESTION #21   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1083, -0.1083, -0.1238, -0.1123, -0.1167]
QUESTION #22   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1044, -0.1056, -0.1184, -0.1087, -0.1217]
QUESTION #23   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.103, -0.1036, -0.114, -0.1121, -0.1091]
QUESTION #24   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1115, -0.1122, -0.1221, -0.1137, -0.1068]
QUESTION #25   | TRAIT: N | KEY: + | SCORE: 4 | ANSWER: (B)
-- Likelihood: [-0.1064, -0.1064, -0.1228, -0.1099, -0.1145]
QUESTION #26   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1782, -0.1759, -0.1863, -0.1792, -0.1724]
QUESTION #27   | TRAIT: O | KEY: + | SCORE: 4 | ANSWER: (B)
-- Likelihood: [-0.1304, -0.1282, -0.1393, -0.139, -0.1423]
QUESTION #28   | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.2183, -0.2207, -0.2295, -0.2274, -0.2326]
QUESTION #29   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1034, -0.1042, -0.1178, -0.1086, -0.1126]
QUESTION #30   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1098, -0.1102, -0.1213, -0.1123, -0.1049]
QUESTION #31   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1049, -0.1062, -0.1197, -0.1097, -0.1082]
QUESTION #32   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1023, -0.1038, -0.1143, -0.1059, -0.1156]
QUESTION #33   | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1057, -0.1066, -0.116, -0.1142, -0.1157]
QUESTION #34   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1012, -0.1024, -0.1147, -0.1065, -0.1151]
QUESTION #35   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1098, -0.1117, -0.1174, -0.1107, -0.113]
QUESTION #36   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1022, -0.1048, -0.1101, -0.11, -0.1099]
QUESTION #37   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1017, -0.1043, -0.1128, -0.111, -0.1099]
QUESTION #38   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1106, -0.11, -0.1193, -0.1116, -0.1041]
QUESTION #39   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1065, -0.1095, -0.1174, -0.1101, -0.1123]
QUESTION #40   | TRAIT: N | KEY: + | SCORE: 4 | ANSWER: (B)
-- Likelihood: [-0.1099, -0.1096, -0.1251, -0.1123, -0.1184]
QUESTION #41   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1119, -0.1106, -0.121, -0.1129, -0.1034]
QUESTION #42   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1102, -0.11, -0.1208, -0.1146, -0.1047]
QUESTION #43   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1108, -0.11, -0.1204, -0.1135, -0.106]
QUESTION #44   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1147, -0.1158, -0.1252, -0.1181, -0.1066]
QUESTION #45   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1006, -0.1011, -0.1103, -0.11, -0.1093]
QUESTION #46   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0993, -0.1007, -0.1119, -0.1038, -0.1138]
QUESTION #47   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0958, -0.0972, -0.1042, -0.1029, -0.1049]
QUESTION #48   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1063, -0.112, -0.122, -0.1095, -0.1059]
QUESTION #49   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1122, -0.1156, -0.1255, -0.1191, -0.1231]
QUESTION #50   | TRAIT: N | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1061, -0.1067, -0.1207, -0.111, -0.1153]
QUESTION #51   | TRAIT: E | KEY: + | SCORE: 4 | ANSWER: (B)
-- Likelihood: [-0.105, -0.1046, -0.1202, -0.1088, -0.1129]
QUESTION #52   | TRAIT: O | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1207, -0.1225, -0.1305, -0.1227, -0.1165]
QUESTION #53   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1116, -0.1113, -0.1206, -0.1182, -0.1055]
QUESTION #54   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1167, -0.1156, -0.1247, -0.1196, -0.1083]
QUESTION #55   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.111, -0.1104, -0.121, -0.1156, -0.1085]
QUESTION #56   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1028, -0.1043, -0.1152, -0.1072, -0.1156]
QUESTION #57   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1065, -0.1088, -0.117, -0.114, -0.1085]
QUESTION #58   | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1079, -0.1108, -0.1187, -0.1121, -0.1143]
QUESTION #59   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.111, -0.1121, -0.1223, -0.1141, -0.1061]
QUESTION #60   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1007, -0.1017, -0.1141, -0.106, -0.1149]
QUESTION #61   | TRAIT: E | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1106, -0.1097, -0.1193, -0.113, -0.104]
QUESTION #62   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.118, -0.1182, -0.1334, -0.1214, -0.1162]
QUESTION #63   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1108, -0.1097, -0.1185, -0.1136, -0.106]
QUESTION #64   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1154, -0.1173, -0.1245, -0.1181, -0.1101]
QUESTION #65   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1169, -0.1166, -0.1271, -0.1184, -0.1073]
QUESTION #66   | TRAIT: E | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1085, -0.1078, -0.1184, -0.1102, -0.1033]
QUESTION #67   | TRAIT: O | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1106, -0.1075, -0.1185, -0.1092, -0.0999]
QUESTION #68   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1218, -0.1218, -0.1307, -0.1284, -0.1159]
QUESTION #69   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1075, -0.108, -0.1202, -0.118, -0.1116]
QUESTION #70   | TRAIT: N | KEY: + | SCORE: 4 | ANSWER: (B)
-- Likelihood: [-0.1031, -0.1025, -0.1125, -0.1122, -0.1076]
QUESTION #71   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1145, -0.1135, -0.1228, -0.1206, -0.1054]
QUESTION #72   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1085, -0.1096, -0.1217, -0.1136, -0.1254]
QUESTION #73   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0997, -0.1001, -0.1101, -0.1087, -0.11]
QUESTION #74   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1123, -0.1125, -0.1268, -0.1149, -0.1259]
QUESTION #75   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1052, -0.1067, -0.1182, -0.1093, -0.1192]
QUESTION #76   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1008, -0.1017, -0.1098, -0.1094, -0.1111]
QUESTION #77   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1099, -0.1105, -0.1264, -0.1135, -0.1197]
QUESTION #78   | TRAIT: A | KEY: - | SCORE: 2 | ANSWER: (B)
-- Likelihood: [-0.1132, -0.1125, -0.1308, -0.1179, -0.1207]
QUESTION #79   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0991, -0.0998, -0.1086, -0.1072, -0.1108]
QUESTION #80   | TRAIT: N | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1111, -0.1107, -0.1208, -0.1168, -0.1074]
QUESTION #81   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1142, -0.1154, -0.1239, -0.1165, -0.1115]
QUESTION #82   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1012, -0.1026, -0.1141, -0.1054, -0.1141]
QUESTION #83   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1091, -0.1105, -0.1205, -0.1206, -0.1147]
QUESTION #84   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1135, -0.1146, -0.1242, -0.1165, -0.1065]
QUESTION #85   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1066, -0.1092, -0.1159, -0.1156, -0.1104]
QUESTION #86   | TRAIT: E | KEY: + | SCORE: 4 | ANSWER: (B)
-- Likelihood: [-0.1068, -0.1066, -0.123, -0.111, -0.1105]
QUESTION #87   | TRAIT: O | KEY: - | SCORE: 2 | ANSWER: (B)
-- Likelihood: [-0.1072, -0.1062, -0.1171, -0.1196, -0.1223]
QUESTION #88   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1046, -0.1076, -0.1151, -0.1129, -0.112]
QUESTION #89   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1157, -0.1191, -0.1312, -0.1202, -0.1069]
QUESTION #90   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1109, -0.11, -0.1188, -0.1125, -0.1082]
QUESTION #91   | TRAIT: E | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.102, -0.1032, -0.1168, -0.1061, -0.1097]
QUESTION #92   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1058, -0.1068, -0.1178, -0.1154, -0.1185]
QUESTION #93   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1111, -0.1111, -0.1279, -0.1159, -0.1232]
QUESTION #94   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1021, -0.1027, -0.1126, -0.1117, -0.1128]
QUESTION #95   | TRAIT: N | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1098, -0.108, -0.1187, -0.1099, -0.1039]
QUESTION #96   | TRAIT: E | KEY: - | SCORE: 2 | ANSWER: (B)
-- Likelihood: [-0.1078, -0.1072, -0.1219, -0.11, -0.1127]
QUESTION #97   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1034, -0.1039, -0.1158, -0.1131, -0.11]
QUESTION #98   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1379, -0.1391, -0.1484, -0.1477, -0.1443]
QUESTION #99   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1062, -0.106, -0.1159, -0.1081, -0.1008]
QUESTION #100  | TRAIT: N | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1128, -0.1128, -0.1234, -0.1185, -0.1065]
QUESTION #101  | TRAIT: E | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0992, -0.0996, -0.1083, -0.1064, -0.1107]
QUESTION #102  | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0976, -0.0994, -0.1074, -0.104, -0.1062]
QUESTION #103  | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1032, -0.1046, -0.1177, -0.108, -0.1107]
QUESTION #104  | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1309, -0.1302, -0.1419, -0.1332, -0.1226]
QUESTION #105  | TRAIT: N | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1008, -0.1014, -0.1115, -0.11, -0.1072]
QUESTION #106  | TRAIT: E | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1032, -0.104, -0.117, -0.1078, -0.1067]
QUESTION #107  | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1038, -0.1052, -0.1168, -0.1086, -0.1104]
QUESTION #108  | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1092, -0.1102, -0.1245, -0.1164, -0.103]
QUESTION #109  | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0975, -0.0992, -0.1076, -0.107, -0.11]
QUESTION #110  | TRAIT: N | KEY: - | SCORE: 2 | ANSWER: (B)
-- Likelihood: [-0.1018, -0.1017, -0.1113, -0.1083, -0.1146]
QUESTION #111  | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E)
-- Likelihood: [-0.1112, -0.1116, -0.1192, -0.1121, -0.1098]
QUESTION #112  | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1109, -0.111, -0.1199, -0.1201, -0.124]
QUESTION #113  | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1307, -0.1311, -0.1461, -0.1352, -0.1466]
QUESTION #114  | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.1173, -0.1171, -0.1289, -0.1185, -0.1133]
QUESTION #115  | TRAIT: N | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.116, -0.1148, -0.1256, -0.1196, -0.1077]
QUESTION #116  | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.1027, -0.1028, -0.1126, -0.1114, -0.1117]
QUESTION #117  | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.1026, -0.1043, -0.113, -0.1123, -0.1124]
QUESTION #118  | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0997, -0.1, -0.1073, -0.1042, -0.1089]
QUESTION #119  | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E)
-- Likelihood: [-0.117, -0.1164, -0.1275, -0.1194, -0.1113]
--------------------------------------
OCEAN SCORES STATS
O | MEAN: 2.5      | STD: 1.91107
C | MEAN: 2.79167  | STD: 1.99955
E | MEAN: 2.91667  | STD: 1.90917
A | MEAN: 2.66667  | STD: 1.94862
N | MEAN: 3.08333  | STD: 1.90917
--------------------------------------
OTHER INTERESTING STATS
ANSWERS | Count
(A)     |   55
(B)     |   13
(C)     |   0
(D)     |   0
(E)     |   52
--------------------------------------
TRAITS-LEVEL STATS: 
Trait: O | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS | Count
(A)     |   6
(B)     |   1
(C)     |   0
(D)     |   0
(E)     |   5

> CHOICES DISTRIBUTION [-]
ANSWERS | Count
(A)     |   9
(B)     |   1
(C)     |   0
(D)     |   0
(E)     |   2

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  14 |   1 |   0 |   1 |   8 |
+-----+-----+-----+-----+-----+


Trait: C | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS | Count
(A)     |   3
(B)     |   1
(C)     |   0
(D)     |   0
(E)     |   7

> CHOICES DISTRIBUTION [-]
ANSWERS | Count
(A)     |   6
(B)     |   0
(C)     |   0
(D)     |   0
(E)     |   7

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  13 |   0 |   0 |   1 |  10 |
+-----+-----+-----+-----+-----+


Trait: E | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS | Count
(A)     |   7
(B)     |   3
(C)     |   0
(D)     |   0
(E)     |   8

> CHOICES DISTRIBUTION [-]
ANSWERS | Count
(A)     |   3
(B)     |   1
(C)     |   0
(D)     |   0
(E)     |   2

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  11 |   1 |   0 |   3 |   9 |
+-----+-----+-----+-----+-----+


Trait: A | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS | Count
(A)     |   3
(B)     |   1
(C)     |   0
(D)     |   0
(E)     |   3

> CHOICES DISTRIBUTION [-]
ANSWERS | Count
(A)     |   10
(B)     |   1
(C)     |   0
(D)     |   0
(E)     |   6

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  13 |   1 |   0 |   1 |   9 |
+-----+-----+-----+-----+-----+


Trait: N | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS | Count
(A)     |   6
(B)     |   3
(C)     |   0
(D)     |   0
(E)     |   8

> CHOICES DISTRIBUTION [-]
ANSWERS | Count
(A)     |   2
(B)     |   1
(C)     |   0
(D)     |   0
(E)     |   4

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  10 |   1 |   0 |   3 |  10 |
+-----+-----+-----+-----+-----+


