MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
QUESTION #0    | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1018, -0.1036, -0.1111, -0.1096, -0.1087]
QUESTION #38   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1065, -0.1046, -0.1121, -0.1097, -0.098]
QUESTION #39   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1054, -0.1072, -0.1209, -0.116, -0.1079]
QUESTION #40   | TRAIT: N | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1105, -0.1095, -0.1261, -0.1109, -0.1158]
QUESTION #41   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1014, -0.1055, -0.1143, -0.1132, -0.0976]
QUESTION #42   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1014, -0.1061, -0.1137, -0.1122, -0.0979]
QUESTION #43   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1109, -0.1058, -0.1183, -0.1112, -0.1031]
QUESTION #44   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1023, -0.1107, -0.1223, -0.115, -0.0993]
QUESTION #45   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1012, -0.1022, -0.1081, -0.11, -0.1089]
QUESTION #46   | TRAIT: E | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.0976, -0.0968, -0.1078, -0.1022, -0.1052]
QUESTION #47   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0951, -0.0967, -0.1068, -0.1071, -0.1014]
QUESTION #48   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0978, -0.1062, -0.1268, -0.1056, -0.0972]
QUESTION #49   | TRAIT: C | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1165, -0.1155, -0.1279, -0.1235, -0.1234]
QUESTION #50   | TRAIT: N | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1058, -0.1036, -0.1137, -0.1098, -0.1143]
QUESTION #51   | TRAIT: E | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1037, -0.1027, -0.119, -0.1061, -0.1062]
QUESTION #52   | TRAIT: O | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1195, -0.1176, -0.1329, -0.1205, -0.1126]
QUESTION #53   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1059, -0.1074, -0.1161, -0.1151, -0.1011]
QUESTION #54   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1082, -0.1109, -0.1187, -0.1177, -0.1036]
QUESTION #55   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1091, -0.1065, -0.1172, -0.1122, -0.1046]
QUESTION #56   | TRAIT: E | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1021, -0.1006, -0.1111, -0.105, -0.1089]
QUESTION #57   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1084, -0.11, -0.1157, -0.1137, -0.1068]
QUESTION #58   | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1067, -0.1097, -0.1218, -0.1177, -0.1094]
QUESTION #59   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1052, -0.1077, -0.121, -0.1115, -0.1008]
QUESTION #60   | TRAIT: N | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1007, -0.0988, -0.1103, -0.1058, -0.1072]
QUESTION #61   | TRAIT: E | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1066, -0.105, -0.1161, -0.1115, -0.0993]
QUESTION #62   | TRAIT: O | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1178, -0.1144, -0.1232, -0.1204, -0.1127]
QUESTION #63   | TRAIT: A | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1082, -0.1055, -0.1161, -0.1095, -0.1004]
QUESTION #64   | TRAIT: C | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1141, -0.1115, -0.1235, -0.1124, -0.1044]
QUESTION #65   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1022, -0.1122, -0.1247, -0.1155, -0.1012]
QUESTION #66   | TRAIT: E | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1088, -0.1019, -0.1133, -0.1091, -0.1002]
QUESTION #67   | TRAIT: O | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.099, -0.1024, -0.1064, -0.1054, -0.0949]
QUESTION #68   | TRAIT: A | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1136, -0.1182, -0.1289, -0.1265, -0.1101]
QUESTION #69   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.111, -0.1115, -0.1187, -0.1151, -0.1178]
QUESTION #70   | TRAIT: N | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1044, -0.1043, -0.1111, -0.1173, -0.1169]
QUESTION #71   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1026, -0.1103, -0.1192, -0.1189, -0.1007]
QUESTION #72   | TRAIT: O | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1077, -0.1052, -0.1156, -0.1117, -0.1145]
QUESTION #73   | TRAIT: A | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1002, -0.1001, -0.107, -0.1092, -0.1084]
QUESTION #74   | TRAIT: C | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1122, -0.1114, -0.1289, -0.1138, -0.1171]
QUESTION #75   | TRAIT: N | KEY: + | SCORE: 4 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.104, -0.1034, -0.1113, -0.1069, -0.1092]
QUESTION #76   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0994, -0.1003, -0.1092, -0.1089, -0.1061]
QUESTION #77   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1076, -0.1082, -0.1253, -0.1113, -0.1113]
QUESTION #78   | TRAIT: A | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1139, -0.1118, -0.1293, -0.1143, -0.1155]
QUESTION #79   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0978, -0.0978, -0.1056, -0.1043, -0.1035]
QUESTION #80   | TRAIT: N | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1119, -0.1057, -0.1168, -0.1131, -0.1043]
QUESTION #81   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1112, -0.1098, -0.123, -0.1142, -0.1083]
QUESTION #82   | TRAIT: O | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1007, -0.0997, -0.1123, -0.1039, -0.1064]
QUESTION #83   | TRAIT: A | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1117, -0.1102, -0.1154, -0.1173, -0.1226]
QUESTION #84   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1045, -0.1098, -0.1211, -0.111, -0.1002]
QUESTION #85   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1035, -0.1085, -0.1204, -0.1159, -0.1075]
QUESTION #86   | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1086, -0.106, -0.1218, -0.1083, -0.1042]
QUESTION #87   | TRAIT: O | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1095, -0.1079, -0.1155, -0.1151, -0.1181]
QUESTION #88   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1062, -0.1085, -0.1176, -0.1138, -0.1133]
QUESTION #89   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1022, -0.1139, -0.1261, -0.1169, -0.1007]
QUESTION #90   | TRAIT: N | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1075, -0.1048, -0.1158, -0.1094, -0.1038]
QUESTION #91   | TRAIT: E | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1019, -0.1007, -0.1098, -0.105, -0.1088]
QUESTION #92   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1063, -0.1074, -0.116, -0.1132, -0.1144]
QUESTION #93   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1108, -0.1112, -0.1268, -0.1136, -0.1144]
QUESTION #94   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1021, -0.1027, -0.1124, -0.1098, -0.1102]
QUESTION #95   | TRAIT: N | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1084, -0.1029, -0.1126, -0.1073, -0.1009]
QUESTION #96   | TRAIT: E | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.11, -0.1069, -0.121, -0.1078, -0.1068]
QUESTION #97   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1034, -0.1037, -0.1075, -0.1105, -0.1089]
QUESTION #98   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1368, -0.1369, -0.1457, -0.1475, -0.1484]
QUESTION #99   | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.105, -0.1012, -0.1114, -0.1058, -0.0981]
QUESTION #100  | TRAIT: N | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1047, -0.1093, -0.1192, -0.1156, -0.1008]
QUESTION #101  | TRAIT: E | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0975, -0.0985, -0.107, -0.1065, -0.1043]
QUESTION #102  | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0957, -0.0963, -0.1088, -0.1053, -0.099]
QUESTION #103  | TRAIT: A | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1026, -0.1022, -0.1122, -0.1071, -0.1095]
QUESTION #104  | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1154, -0.1262, -0.1388, -0.1279, -0.1139]
QUESTION #105  | TRAIT: N | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1005, -0.1013, -0.1103, -0.1102, -0.1088]
QUESTION #106  | TRAIT: E | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1026, -0.1015, -0.111, -0.1075, -0.1117]
QUESTION #107  | TRAIT: O | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1029, -0.102, -0.1133, -0.1075, -0.1126]
QUESTION #108  | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0973, -0.1083, -0.1158, -0.1162, -0.0981]
QUESTION #109  | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0994, -0.1016, -0.1089, -0.1094, -0.1054]
QUESTION #110  | TRAIT: N | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0997, -0.0998, -0.1075, -0.1093, -0.1056]
QUESTION #111  | TRAIT: E | KEY: + | SCORE: 1 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1078, -0.1051, -0.1153, -0.1074, -0.105]
QUESTION #112  | TRAIT: O | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1116, -0.1097, -0.1208, -0.1177, -0.1207]
QUESTION #113  | TRAIT: A | KEY: - | SCORE: 2 | ANSWER: (B) Moderately Accurate
-- Likelihood: [-0.1302, -0.1262, -0.1353, -0.1338, -0.1372]
QUESTION #114  | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1153, -0.1116, -0.122, -0.1158, -0.1067]
QUESTION #115  | TRAIT: N | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1103, -0.1101, -0.1205, -0.1166, -0.1038]
QUESTION #116  | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1021, -0.103, -0.1079, -0.1108, -0.1093]
QUESTION #117  | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.1031, -0.1042, -0.1144, -0.117, -0.1087]
QUESTION #118  | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0968, -0.097, -0.1046, -0.1056, -0.1031]
QUESTION #119  | TRAIT: C | KEY: - | SCORE: 5 | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.1094, -0.1141, -0.1241, -0.1164, -0.1057]
--------------------------------------
OCEAN SCORES STATS
O | MEAN: 2.41667  | STD: 1.66594
C | MEAN: 2.79167  | STD: 1.86452
E | MEAN: 2.75     | STD: 1.82376
A | MEAN: 2.70833  | STD: 1.85283
N | MEAN: 2.95833  | STD: 1.80529
--------------------------------------
OTHER INTERESTING STATS
ANSWERS                             | Count
(A) Very Accurate                   |   34
(B) Moderately Accurate             |   31
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   55
--------------------------------------
TRAITS-LEVEL STATS: 
Trait: O | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS                             | Count
(A) Very Accurate                   |   3
(B) Moderately Accurate             |   3
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   6

> CHOICES DISTRIBUTION [-]
ANSWERS                             | Count
(A) Very Accurate                   |   5
(B) Moderately Accurate             |   5
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   2

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  11 |   5 |   0 |   3 |   5 |
+-----+-----+-----+-----+-----+


Trait: C | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS                             | Count
(A) Very Accurate                   |   1
(B) Moderately Accurate             |   3
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   7

> CHOICES DISTRIBUTION [-]
ANSWERS                             | Count
(A) Very Accurate                   |   4
(B) Moderately Accurate             |   2
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   7

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  11 |   2 |   0 |   3 |   8 |
+-----+-----+-----+-----+-----+


Trait: E | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS                             | Count
(A) Very Accurate                   |   4
(B) Moderately Accurate             |   4
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   10

> CHOICES DISTRIBUTION [-]
ANSWERS                             | Count
(A) Very Accurate                   |   1
(B) Moderately Accurate             |   2
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   3

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  11 |   2 |   0 |   4 |   7 |
+-----+-----+-----+-----+-----+


Trait: A | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS                             | Count
(A) Very Accurate                   |   4
(B) Moderately Accurate             |   0
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   3

> CHOICES DISTRIBUTION [-]
ANSWERS                             | Count
(A) Very Accurate                   |   7
(B) Moderately Accurate             |   5
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   5

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  10 |   5 |   0 |   0 |   9 |
+-----+-----+-----+-----+-----+


Trait: N | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS                             | Count
(A) Very Accurate                   |   3
(B) Moderately Accurate             |   6
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   8

> CHOICES DISTRIBUTION [-]
ANSWERS                             | Count
(A) Very Accurate                   |   2
(B) Moderately Accurate             |   1
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   4

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|  10 |   1 |   0 |   6 |   7 |
+-----+-----+-----+-----+-----+


