MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
QUESTION #0    | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0142, -0.0275, -0.2287, -0.02, -0.0471]
QUESTION #10   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0263, -0.0452, -0.272, -0.0264, -0.0988]
QUESTION #11   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0211, -0.0292, -0.2648, -0.0227, -0.0845]
QUESTION #12   | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0246, -0.0352, -0.2408, -0.0193, -0.047]
QUESTION #13   | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0202, -0.0342, -0.2495, -0.0416, -0.0658]
QUESTION #14   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.022, -0.0356, -0.2166, -0.0236, -0.0872]
QUESTION #15   | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0245, -0.039, -0.2131, -0.0188, -0.0428]
QUESTION #16   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0158, -0.0318, -0.2222, -0.0183, -0.0582]
QUESTION #17   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0202, -0.0334, -0.2422, -0.0254, -0.058]
QUESTION #18   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.021, -0.0291, -0.2421, -0.0254, -0.0665]
QUESTION #19   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0204, -0.0301, -0.2467, -0.0219, -0.0652]
QUESTION #20   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0185, -0.0402, -0.2539, -0.0359, -0.1097]
QUESTION #21   | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0232, -0.0312, -0.2447, -0.023, -0.082]
QUESTION #22   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0287, -0.0446, -0.2706, -0.0309, -0.0668]
QUESTION #23   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0298, -0.0369, -0.1915, -0.0199, -0.0418]
QUESTION #24   | TRAIT: C | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0232, -0.0344, -0.2082, -0.0214, -0.0744]
QUESTION #25   | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.023, -0.0347, -0.2664, -0.0228, -0.0726]
QUESTION #26   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0154, -0.0306, -0.2719, -0.0289, -0.0662]
QUESTION #27   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0208, -0.0277, -0.1668, -0.0525, -0.072]
QUESTION #28   | TRAIT: A | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0401, -0.0545, -0.2325, -0.0336, -0.0637]
QUESTION #29   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0162, -0.0336, -0.2573, -0.0202, -0.0461]
QUESTION #30   | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0251, -0.0353, -0.254, -0.0195, -0.061]
QUESTION #31   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0179, -0.0374, -0.2709, -0.0329, -0.0565]
QUESTION #32   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0188, -0.0285, -0.2302, -0.0209, -0.037]
QUESTION #33   | TRAIT: A | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0263, -0.0351, -0.1989, -0.0214, -0.0418]
QUESTION #34   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0229, -0.0426, -0.2557, -0.0278, -0.0566]
QUESTION #35   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0161, -0.029, -0.1973, -0.0244, -0.0569]
QUESTION #36   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0155, -0.0283, -0.1516, -0.0384, -0.0565]
QUESTION #37   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0136, -0.0226, -0.1771, -0.0172, -0.0331]
QUESTION #38   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0183, -0.0383, -0.2483, -0.0292, -0.0908]
QUESTION #39   | TRAIT: C | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0171, -0.025, -0.1522, -0.0165, -0.0341]
QUESTION #40   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0135, -0.0239, -0.2689, -0.0227, -0.0494]
QUESTION #41   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0205, -0.038, -0.2636, -0.0227, -0.0757]
QUESTION #42   | TRAIT: O | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0236, -0.0431, -0.2767, -0.0263, -0.0864]
QUESTION #43   | TRAIT: A | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0219, -0.0313, -0.2366, -0.0161, -0.0483]
QUESTION #44   | TRAIT: C | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0229, -0.0335, -0.2215, -0.0198, -0.0735]
QUESTION #45   | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0313, -0.034, -0.1837, -0.0176, -0.0373]
QUESTION #46   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0211, -0.0366, -0.2375, -0.0233, -0.0643]
QUESTION #47   | TRAIT: O | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0192, -0.0303, -0.1636, -0.0164, -0.0402]
QUESTION #48   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0295, -0.0533, -0.2574, -0.0273, -0.1147]
QUESTION #49   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0196, -0.0359, -0.1497, -0.0205, -0.0544]
QUESTION #50   | TRAIT: N | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0147, -0.0284, -0.2652, -0.0216, -0.0549]
QUESTION #51   | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0181, -0.025, -0.2307, -0.0152, -0.0419]
QUESTION #52   | TRAIT: O | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0168, -0.0271, -0.1946, -0.016, -0.05]
QUESTION #53   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0197, -0.0342, -0.2257, -0.0186, -0.0598]
QUESTION #54   | TRAIT: C | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0141, -0.0263, -0.23, -0.0221, -0.0533]
QUESTION #55   | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0181, -0.0321, -0.2334, -0.0157, -0.046]
QUESTION #56   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0197, -0.0326, -0.2339, -0.0202, -0.0483]
QUESTION #57   | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.017, -0.0234, -0.1649, -0.0163, -0.0271]
QUESTION #58   | TRAIT: A | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0238, -0.0328, -0.196, -0.0449, -0.0561]
QUESTION #59   | TRAIT: C | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0195, -0.0353, -0.207, -0.0193, -0.0684]
QUESTION #60   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0157, -0.0274, -0.2444, -0.0304, -0.0502]
QUESTION #61   | TRAIT: E | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0153, -0.0337, -0.2408, -0.0178, -0.0506]
QUESTION #62   | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0264, -0.0386, -0.2694, -0.0236, -0.0685]
QUESTION #63   | TRAIT: A | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0267, -0.0428, -0.2305, -0.0224, -0.0611]
QUESTION #64   | TRAIT: C | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0209, -0.039, -0.2016, -0.0173, -0.054]
QUESTION #65   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0173, -0.0314, -0.2231, -0.019, -0.075]
QUESTION #66   | TRAIT: E | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0163, -0.0271, -0.2516, -0.0167, -0.0527]
QUESTION #67   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0143, -0.0276, -0.2431, -0.035, -0.0808]
QUESTION #68   | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0196, -0.0378, -0.2384, -0.0235, -0.074]
QUESTION #69   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0227, -0.031, -0.2164, -0.0234, -0.0487]
QUESTION #70   | TRAIT: N | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0212, -0.0285, -0.1645, -0.0193, -0.0518]
QUESTION #71   | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0151, -0.0319, -0.2356, -0.0202, -0.0573]
QUESTION #72   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0208, -0.0336, -0.2597, -0.0354, -0.0647]
QUESTION #73   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0266, -0.0337, -0.1837, -0.0196, -0.0366]
QUESTION #74   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0201, -0.033, -0.2591, -0.0269, -0.0952]
QUESTION #75   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0189, -0.0395, -0.2682, -0.041, -0.0703]
QUESTION #76   | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0254, -0.0324, -0.166, -0.0187, -0.041]
QUESTION #77   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.016, -0.0289, -0.2798, -0.0233, -0.0733]
QUESTION #78   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0231, -0.0334, -0.241, -0.0221, -0.0918]
QUESTION #79   | TRAIT: C | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.028, -0.0402, -0.1916, -0.0235, -0.0467]
QUESTION #80   | TRAIT: N | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0179, -0.0335, -0.2422, -0.0206, -0.0534]
QUESTION #81   | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0172, -0.0221, -0.2001, -0.0152, -0.0517]
QUESTION #82   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0153, -0.026, -0.2586, -0.0243, -0.0405]
QUESTION #83   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0261, -0.0323, -0.1767, -0.0178, -0.042]
QUESTION #84   | TRAIT: C | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0202, -0.034, -0.2099, -0.0197, -0.0762]
QUESTION #85   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0157, -0.0232, -0.1745, -0.0344, -0.0667]
QUESTION #86   | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0264, -0.0337, -0.2687, -0.022, -0.0783]
QUESTION #87   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0185, -0.0247, -0.1736, -0.0336, -0.0575]
QUESTION #88   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0203, -0.0278, -0.1409, -0.0169, -0.0345]
QUESTION #89   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0154, -0.0274, -0.2023, -0.016, -0.0534]
QUESTION #90   | TRAIT: N | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0182, -0.0343, -0.2213, -0.0366, -0.074]
QUESTION #91   | TRAIT: E | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0182, -0.0349, -0.269, -0.0223, -0.0515]
QUESTION #92   | TRAIT: O | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0219, -0.0352, -0.2107, -0.0182, -0.0398]
QUESTION #93   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0261, -0.0353, -0.2433, -0.0196, -0.0584]
QUESTION #94   | TRAIT: C | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0316, -0.0443, -0.1937, -0.0188, -0.0442]
QUESTION #95   | TRAIT: N | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0142, -0.0308, -0.2661, -0.0241, -0.0575]
QUESTION #96   | TRAIT: E | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0198, -0.0291, -0.2564, -0.0283, -0.0795]
QUESTION #97   | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0359, -0.0363, -0.2473, -0.0864, -0.0768]
QUESTION #98   | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0286, -0.0333, -0.197, -0.0191, -0.0456]
QUESTION #99   | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0179, -0.035, -0.2371, -0.0216, -0.0508]
QUESTION #100  | TRAIT: N | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0185, -0.0343, -0.2627, -0.0175, -0.0542]
QUESTION #101  | TRAIT: E | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0326, -0.0382, -0.1863, -0.0213, -0.0486]
QUESTION #102  | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0281, -0.0492, -0.237, -0.0901, -0.1273]
QUESTION #103  | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0195, -0.0413, -0.2682, -0.0251, -0.0591]
QUESTION #104  | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0236, -0.0399, -0.2322, -0.0264, -0.0985]
QUESTION #105  | TRAIT: N | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0337, -0.0422, -0.2046, -0.0178, -0.0363]
QUESTION #106  | TRAIT: E | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0225, -0.041, -0.2305, -0.0207, -0.0552]
QUESTION #107  | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.015, -0.0312, -0.2367, -0.0303, -0.0457]
QUESTION #108  | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0219, -0.0444, -0.2722, -0.0199, -0.0706]
QUESTION #109  | TRAIT: C | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0222, -0.0403, -0.1808, -0.0175, -0.0382]
QUESTION #110  | TRAIT: N | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0352, -0.0422, -0.2042, -0.019, -0.0438]
QUESTION #111  | TRAIT: E | KEY: + | SCORE: 5 | ANSWER: (A)
-- Likelihood: [-0.0228, -0.039, -0.2154, -0.0456, -0.0674]
QUESTION #112  | TRAIT: O | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0245, -0.0265, -0.1666, -0.0164, -0.0326]
QUESTION #113  | TRAIT: A | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0172, -0.0279, -0.2783, -0.0272, -0.0445]
QUESTION #114  | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0225, -0.0438, -0.2593, -0.0227, -0.0754]
QUESTION #115  | TRAIT: N | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0196, -0.0351, -0.269, -0.0235, -0.0597]
QUESTION #116  | TRAIT: E | KEY: + | SCORE: 2 | ANSWER: (D)
-- Likelihood: [-0.0272, -0.0374, -0.1973, -0.0239, -0.0592]
QUESTION #117  | TRAIT: O | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0215, -0.0343, -0.2025, -0.0404, -0.0586]
QUESTION #118  | TRAIT: A | KEY: - | SCORE: 4 | ANSWER: (D)
-- Likelihood: [-0.0405, -0.0489, -0.176, -0.0272, -0.0534]
QUESTION #119  | TRAIT: C | KEY: - | SCORE: 1 | ANSWER: (A)
-- Likelihood: [-0.0157, -0.031, -0.181, -0.0235, -0.0545]
--------------------------------------
OCEAN SCORES STATS
O | MEAN: 2.625    | STD: 1.68916
C | MEAN: 2.83333  | STD: 1.6854
E | MEAN: 3.25     | STD: 1.67462
A | MEAN: 3.04167  | STD: 1.39811
N | MEAN: 3.33333  | STD: 1.6594
--------------------------------------
OTHER INTERESTING STATS
ANSWERS | Count
(A)     |   64
(B)     |   0
(C)     |   0
(D)     |   56
(E)     |   0
--------------------------------------
TRAITS-LEVEL STATS: 
Trait: O | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS | Count
(A)     |   6
(B)     |   0
(C)     |   0
(D)     |   6
(E)     |   0

> CHOICES DISTRIBUTION [-]
ANSWERS | Count
(A)     |   9
(B)     |   0
(C)     |   0
(D)     |   3
(E)     |   0

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|   9 |   6 |   0 |   3 |   6 |
+-----+-----+-----+-----+-----+


Trait: C | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS | Count
(A)     |   6
(B)     |   0
(C)     |   0
(D)     |   5
(E)     |   0

> CHOICES DISTRIBUTION [-]
ANSWERS | Count
(A)     |   8
(B)     |   0
(C)     |   0
(D)     |   5
(E)     |   0

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|   8 |   5 |   0 |   5 |   6 |
+-----+-----+-----+-----+-----+


Trait: E | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS | Count
(A)     |   10
(B)     |   0
(C)     |   0
(D)     |   8
(E)     |   0

> CHOICES DISTRIBUTION [-]
ANSWERS | Count
(A)     |   4
(B)     |   0
(C)     |   0
(D)     |   2
(E)     |   0

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|   4 |   8 |   0 |   2 |  10 |
+-----+-----+-----+-----+-----+


Trait: A | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS | Count
(A)     |   2
(B)     |   0
(C)     |   0
(D)     |   5
(E)     |   0

> CHOICES DISTRIBUTION [-]
ANSWERS | Count
(A)     |   5
(B)     |   0
(C)     |   0
(D)     |   12
(E)     |   0

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|   5 |   5 |   0 |  12 |   2 |
+-----+-----+-----+-----+-----+


Trait: N | # Questions: 24
> CHOICES DISTRIBUTION [+]
ANSWERS | Count
(A)     |   10
(B)     |   0
(C)     |   0
(D)     |   7
(E)     |   0

> CHOICES DISTRIBUTION [-]
ANSWERS | Count
(A)     |   4
(B)     |   0
(C)     |   0
(D)     |   3
(E)     |   0

> SCORE DISTRIBUTION
+-----+-----+-----+-----+-----+
|   1 |   2 |   3 |   4 |   5 |
|-----+-----+-----+-----+-----|
|   4 |   7 |   0 |   3 |  10 |
+-----+-----+-----+-----+-----+


