MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
Question #0    | Trait: N | Key: + | ANSWER: (E)
-- Likelihood: [-0.1119, -0.1106, -0.121, -0.1129, -0.1034]
Question #42   | Trait: O | Key: + | ANSWER: (E)
-- Likelihood: [-0.1102, -0.11, -0.1208, -0.1146, -0.1047]
Question #43   | Trait: A | Key: + | ANSWER: (E)
-- Likelihood: [-0.1108, -0.11, -0.1204, -0.1135, -0.106]
Question #44   | Trait: C | Key: + | ANSWER: (E)
-- Likelihood: [-0.1147, -0.1158, -0.1252, -0.1181, -0.1066]
Question #45   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.1006, -0.1011, -0.1103, -0.11, -0.1093]
Question #46   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.0993, -0.1007, -0.1119, -0.1038, -0.1138]
Question #47   | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.0958, -0.0972, -0.1042, -0.1029, -0.1049]
Question #48   | Trait: A | Key: - | ANSWER: (E)
-- Likelihood: [-0.1063, -0.112, -0.122, -0.1095, -0.1059]
Question #49   | Trait: C | Key: + | ANSWER: (A)
-- Likelihood: [-0.1122, -0.1156, -0.1255, -0.1191, -0.1231]
Question #50   | Trait: N | Key: - | ANSWER: (A)
-- Likelihood: [-0.1061, -0.1067, -0.1207, -0.111, -0.1153]
Question #51   | Trait: E | Key: + | ANSWER: (B)
-- Likelihood: [-0.105, -0.1046, -0.1202, -0.1088, -0.1129]
Question #52   | Trait: O | Key: - | ANSWER: (E)
-- Likelihood: [-0.1207, -0.1225, -0.1305, -0.1227, -0.1165]
Question #53   | Trait: A | Key: - | ANSWER: (E)
-- Likelihood: [-0.1116, -0.1113, -0.1206, -0.1182, -0.1055]
Question #54   | Trait: C | Key: + | ANSWER: (E)
-- Likelihood: [-0.1167, -0.1156, -0.1247, -0.1196, -0.1083]
Question #55   | Trait: N | Key: + | ANSWER: (E)
-- Likelihood: [-0.111, -0.1104, -0.121, -0.1156, -0.1085]
Question #56   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.1028, -0.1043, -0.1152, -0.1072, -0.1156]
Question #57   | Trait: O | Key: + | ANSWER: (A)
-- Likelihood: [-0.1065, -0.1088, -0.117, -0.114, -0.1085]
Question #58   | Trait: A | Key: + | ANSWER: (A)
-- Likelihood: [-0.1079, -0.1108, -0.1187, -0.1121, -0.1143]
Question #59   | Trait: C | Key: - | ANSWER: (E)
-- Likelihood: [-0.111, -0.1121, -0.1223, -0.1141, -0.1061]
Question #60   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.1007, -0.1017, -0.1141, -0.106, -0.1149]
Question #61   | Trait: E | Key: - | ANSWER: (E)
-- Likelihood: [-0.1106, -0.1097, -0.1193, -0.113, -0.104]
Question #62   | Trait: O | Key: + | ANSWER: (E)
-- Likelihood: [-0.118, -0.1182, -0.1334, -0.1214, -0.1162]
Question #63   | Trait: A | Key: + | ANSWER: (E)
-- Likelihood: [-0.1108, -0.1097, -0.1185, -0.1136, -0.106]
Question #64   | Trait: C | Key: + | ANSWER: (E)
-- Likelihood: [-0.1154, -0.1173, -0.1245, -0.1181, -0.1101]
Question #65   | Trait: N | Key: + | ANSWER: (E)
-- Likelihood: [-0.1169, -0.1166, -0.1271, -0.1184, -0.1073]
Question #66   | Trait: E | Key: - | ANSWER: (E)
-- Likelihood: [-0.1085, -0.1078, -0.1184, -0.1102, -0.1033]
Question #67   | Trait: O | Key: - | ANSWER: (E)
-- Likelihood: [-0.1106, -0.1075, -0.1185, -0.1092, -0.0999]
Question #68   | Trait: A | Key: - | ANSWER: (E)
-- Likelihood: [-0.1218, -0.1218, -0.1307, -0.1284, -0.1159]
Question #69   | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.1075, -0.108, -0.1202, -0.118, -0.1116]
Question #70   | Trait: N | Key: + | ANSWER: (B)
-- Likelihood: [-0.1031, -0.1025, -0.1125, -0.1122, -0.1076]
Question #71   | Trait: E | Key: + | ANSWER: (E)
-- Likelihood: [-0.1145, -0.1135, -0.1228, -0.1206, -0.1054]
Question #72   | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.1085, -0.1096, -0.1217, -0.1136, -0.1254]
Question #73   | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.0997, -0.1001, -0.1101, -0.1087, -0.11]
Question #74   | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.1123, -0.1125, -0.1268, -0.1149, -0.1259]
Question #75   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.1052, -0.1067, -0.1182, -0.1093, -0.1192]
Question #76   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.1008, -0.1017, -0.1098, -0.1094, -0.1111]
Question #77   | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.1099, -0.1105, -0.1264, -0.1135, -0.1197]
Question #78   | Trait: A | Key: - | ANSWER: (B)
-- Likelihood: [-0.1132, -0.1125, -0.1308, -0.1179, -0.1207]
Question #79   | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.0991, -0.0998, -0.1086, -0.1072, -0.1108]
Question #80   | Trait: N | Key: - | ANSWER: (E)
-- Likelihood: [-0.1111, -0.1107, -0.1208, -0.1168, -0.1074]
Question #81   | Trait: E | Key: + | ANSWER: (E)
-- Likelihood: [-0.1142, -0.1154, -0.1239, -0.1165, -0.1115]
Question #82   | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.1012, -0.1026, -0.1141, -0.1054, -0.1141]
Question #83   | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.1091, -0.1105, -0.1205, -0.1206, -0.1147]
Question #84   | Trait: C | Key: - | ANSWER: (E)
-- Likelihood: [-0.1135, -0.1146, -0.1242, -0.1165, -0.1065]
Question #85   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.1066, -0.1092, -0.1159, -0.1156, -0.1104]
Question #86   | Trait: E | Key: + | ANSWER: (B)
-- Likelihood: [-0.1068, -0.1066, -0.123, -0.111, -0.1105]
Question #87   | Trait: O | Key: - | ANSWER: (B)
-- Likelihood: [-0.1072, -0.1062, -0.1171, -0.1196, -0.1223]
Question #88   | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.1046, -0.1076, -0.1151, -0.1129, -0.112]
Question #89   | Trait: C | Key: - | ANSWER: (E)
-- Likelihood: [-0.1157, -0.1191, -0.1312, -0.1202, -0.1069]
Question #90   | Trait: N | Key: + | ANSWER: (E)
-- Likelihood: [-0.1109, -0.11, -0.1188, -0.1125, -0.1082]
Question #91   | Trait: E | Key: - | ANSWER: (A)
-- Likelihood: [-0.102, -0.1032, -0.1168, -0.1061, -0.1097]
Question #92   | Trait: O | Key: + | ANSWER: (A)
-- Likelihood: [-0.1058, -0.1068, -0.1178, -0.1154, -0.1185]
Question #93   | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.1111, -0.1111, -0.1279, -0.1159, -0.1232]
Question #94   | Trait: C | Key: + | ANSWER: (A)
-- Likelihood: [-0.1021, -0.1027, -0.1126, -0.1117, -0.1128]
Question #95   | Trait: N | Key: - | ANSWER: (E)
-- Likelihood: [-0.1098, -0.108, -0.1187, -0.1099, -0.1039]
Question #96   | Trait: E | Key: - | ANSWER: (B)
-- Likelihood: [-0.1078, -0.1072, -0.1219, -0.11, -0.1127]
Question #97   | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.1034, -0.1039, -0.1158, -0.1131, -0.11]
Question #98   | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.1379, -0.1391, -0.1484, -0.1477, -0.1443]
Question #99   | Trait: C | Key: - | ANSWER: (E)
-- Likelihood: [-0.1062, -0.106, -0.1159, -0.1081, -0.1008]
Question #100  | Trait: N | Key: - | ANSWER: (E)
-- Likelihood: [-0.1128, -0.1128, -0.1234, -0.1185, -0.1065]
Question #101  | Trait: E | Key: - | ANSWER: (A)
-- Likelihood: [-0.0992, -0.0996, -0.1083, -0.1064, -0.1107]
Question #102  | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.0976, -0.0994, -0.1074, -0.104, -0.1062]
Question #103  | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.1032, -0.1046, -0.1177, -0.108, -0.1107]
Question #104  | Trait: C | Key: - | ANSWER: (E)
-- Likelihood: [-0.1309, -0.1302, -0.1419, -0.1332, -0.1226]
Question #105  | Trait: N | Key: - | ANSWER: (A)
-- Likelihood: [-0.1008, -0.1014, -0.1115, -0.11, -0.1072]
Question #106  | Trait: E | Key: - | ANSWER: (A)
-- Likelihood: [-0.1032, -0.104, -0.117, -0.1078, -0.1067]
Question #107  | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.1038, -0.1052, -0.1168, -0.1086, -0.1104]
Question #108  | Trait: A | Key: - | ANSWER: (E)
-- Likelihood: [-0.1092, -0.1102, -0.1245, -0.1164, -0.103]
Question #109  | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.0975, -0.0992, -0.1076, -0.107, -0.11]
Question #110  | Trait: N | Key: - | ANSWER: (B)
-- Likelihood: [-0.1018, -0.1017, -0.1113, -0.1083, -0.1146]
Question #111  | Trait: E | Key: + | ANSWER: (E)
-- Likelihood: [-0.1112, -0.1116, -0.1192, -0.1121, -0.1098]
Question #112  | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.1109, -0.111, -0.1199, -0.1201, -0.124]
Question #113  | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.1307, -0.1311, -0.1461, -0.1352, -0.1466]
Question #114  | Trait: C | Key: - | ANSWER: (E)
-- Likelihood: [-0.1173, -0.1171, -0.1289, -0.1185, -0.1133]
Question #115  | Trait: N | Key: - | ANSWER: (E)
-- Likelihood: [-0.116, -0.1148, -0.1256, -0.1196, -0.1077]
Question #116  | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.1027, -0.1028, -0.1126, -0.1114, -0.1117]
Question #117  | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.1026, -0.1043, -0.113, -0.1123, -0.1124]
Question #118  | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.0997, -0.1, -0.1073, -0.1042, -0.1089]
Question #119  | Trait: C | Key: - | ANSWER: (E)
-- Likelihood: [-0.117, -0.1164, -0.1275, -0.1194, -0.1113]
--------------------------------------
OCEAN SCORES STATS
O | MEAN: -0.5 | STD: 4.211784839630127
C | MEAN: -0.4583333432674408 | STD: 3.2966275215148926
E | MEAN: 1.4166666269302368 | STD: 3.4630556106567383
A | MEAN: -1.5833333730697632 | STD: 3.646519184112549
N | MEAN: 1.3333333730697632 | STD: 3.185110330581665
--------------------------------------
OTHER INTERESTING STATS
ANSWERS | Count
(A)     |   55
(B)     |   13
(C)     |   0
(D)     |   0
(E)     |   52
--------------------------------------
TRAITS-LEVEL STATS: SCORE DISTRIBUTION
Trait: O | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    9 |    1 |    0 |    0 |    2 |   5 |   0 |   0 |   1 |   6 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
Trait: C | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    6 |    0 |    0 |    0 |    7 |   7 |   0 |   0 |   1 |   3 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
Trait: E | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    3 |    1 |    0 |    0 |    2 |   8 |   0 |   0 |   3 |   7 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
Trait: A | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|   10 |    1 |    0 |    0 |    6 |   3 |   0 |   0 |   1 |   3 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
Trait: N | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    2 |    1 |    0 |    0 |    4 |   8 |   0 |   0 |   3 |   6 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
