MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
Question #0    | Trait: N | Key: + | ANSWER: Very Inaccurate
Question #31   | Trait: E | Key: + | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0898, -0.0839, -0.0708, -0.0696, -0.0737]
Question #32   | Trait: O | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0616, -0.0709, -0.0601, -0.0587, -0.0507]
Question #33   | Trait: A | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0762, -0.0863, -0.0715, -0.0689, -0.0614]
Question #34   | Trait: C | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.072, -0.0743, -0.0584, -0.0604, -0.0565]
Question #35   | Trait: N | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0935, -0.0938, -0.0696, -0.079, -0.0711]
Question #36   | Trait: E | Key: + | ANSWER: Very Accurate
-- Likelihood: [-0.0733, -0.102, -0.0755, -0.0854, -0.0929]
Question #37   | Trait: O | Key: + | ANSWER: Very Accurate
-- Likelihood: [-0.0674, -0.0986, -0.0751, -0.083, -0.0831]
Question #38   | Trait: A | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1188, -0.0988, -0.0767, -0.0819, -0.083]
Question #39   | Trait: C | Key: - | ANSWER: Very Accurate
-- Likelihood: [-0.0405, -0.1093, -0.0708, -0.0935, -0.0599]
Question #40   | Trait: N | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.082, -0.0855, -0.0788, -0.0707, -0.0603]
Question #41   | Trait: E | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.1008, -0.1012, -0.0816, -0.0825, -0.0706]
Question #42   | Trait: O | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0955, -0.1003, -0.0739, -0.0854, -0.0539]
Question #43   | Trait: A | Key: + | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1186, -0.0957, -0.0799, -0.0777, -0.0963]
Question #44   | Trait: C | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0648, -0.1076, -0.0878, -0.0812, -0.0529]
Question #45   | Trait: N | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0911, -0.0899, -0.072, -0.0722, -0.0689]
Question #46   | Trait: E | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0599, -0.0711, -0.0587, -0.0602, -0.0526]
Question #47   | Trait: O | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0585, -0.0721, -0.0589, -0.0581, -0.0469]
Question #48   | Trait: A | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.042, -0.0668, -0.0617, -0.0533, -0.0317]
Question #49   | Trait: C | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0797, -0.121, -0.0792, -0.0999, -0.1021]
Question #50   | Trait: N | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0731, -0.0756, -0.062, -0.0632, -0.0636]
Question #51   | Trait: E | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0613, -0.072, -0.0619, -0.0587, -0.0439]
Question #52   | Trait: O | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1173, -0.1205, -0.0884, -0.1038, -0.1013]
Question #53   | Trait: A | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1153, -0.1002, -0.0776, -0.0843, -0.0833]
Question #54   | Trait: C | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1125, -0.0991, -0.0771, -0.0816, -0.0808]
Question #55   | Trait: N | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1027, -0.0914, -0.0726, -0.0739, -0.0819]
Question #56   | Trait: E | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0596, -0.0703, -0.0591, -0.0582, -0.0512]
Question #57   | Trait: O | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0876, -0.1147, -0.0802, -0.0967, -0.1055]
Question #58   | Trait: A | Key: + | ANSWER: Very Accurate
-- Likelihood: [-0.0509, -0.1031, -0.0731, -0.0886, -0.0696]
Question #59   | Trait: C | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0767, -0.1104, -0.0776, -0.0949, -0.0715]
Question #60   | Trait: N | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0748, -0.0772, -0.0636, -0.0626, -0.0608]
Question #61   | Trait: E | Key: - | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1226, -0.0933, -0.0766, -0.0764, -0.0964]
Question #62   | Trait: O | Key: + | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1056, -0.0844, -0.0747, -0.0716, -0.0916]
Question #63   | Trait: A | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1122, -0.0934, -0.0745, -0.0753, -0.0892]
Question #64   | Trait: C | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1199, -0.1205, -0.0841, -0.1004, -0.1004]
Question #65   | Trait: N | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0577, -0.0941, -0.0912, -0.0741, -0.0481]
Question #66   | Trait: E | Key: - | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1161, -0.0877, -0.073, -0.0714, -0.0944]
Question #67   | Trait: O | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0866, -0.1005, -0.0645, -0.0777, -0.0493]
Question #68   | Trait: A | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.1122, -0.1031, -0.0838, -0.0884, -0.0775]
Question #69   | Trait: C | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0985, -0.1071, -0.0806, -0.0871, -0.086]
Question #70   | Trait: N | Key: + | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1059, -0.0942, -0.0797, -0.0771, -0.0838]
Question #71   | Trait: E | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0945, -0.1071, -0.0855, -0.0926, -0.0664]
Question #72   | Trait: O | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0669, -0.065, -0.0539, -0.0553, -0.0543]
Question #73   | Trait: A | Key: - | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0852, -0.0767, -0.0621, -0.0606, -0.0647]
Question #74   | Trait: C | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0822, -0.0883, -0.0847, -0.0742, -0.0617]
Question #75   | Trait: N | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0674, -0.0703, -0.0587, -0.0569, -0.0525]
Question #76   | Trait: E | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0689, -0.0783, -0.0676, -0.0626, -0.0547]
Question #77   | Trait: O | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0664, -0.0794, -0.0712, -0.0662, -0.0482]
Question #78   | Trait: A | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0894, -0.0854, -0.0797, -0.0718, -0.0667]
Question #79   | Trait: C | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0737, -0.0752, -0.0614, -0.0596, -0.0562]
Question #80   | Trait: N | Key: - | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1235, -0.092, -0.0746, -0.0714, -0.0969]
Question #81   | Trait: E | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1192, -0.1124, -0.0816, -0.0948, -0.0914]
Question #82   | Trait: O | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0544, -0.0644, -0.0578, -0.0539, -0.0441]
Question #83   | Trait: A | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0937, -0.1022, -0.0729, -0.0811, -0.092]
Question #84   | Trait: C | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0724, -0.111, -0.0826, -0.0905, -0.0677]
Question #85   | Trait: N | Key: + | ANSWER: Very Accurate
-- Likelihood: [-0.0457, -0.0825, -0.0698, -0.0736, -0.052]
Question #86   | Trait: E | Key: + | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1044, -0.0802, -0.075, -0.0671, -0.0728]
Question #87   | Trait: O | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0972, -0.073, -0.0524, -0.0576, -0.0739]
Question #88   | Trait: A | Key: - | ANSWER: Very Accurate
-- Likelihood: [-0.0812, -0.1164, -0.085, -0.0978, -0.1015]
Question #89   | Trait: C | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0569, -0.0952, -0.0908, -0.0748, -0.0476]
Question #90   | Trait: N | Key: + | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0951, -0.0879, -0.0755, -0.0741, -0.0843]
Question #91   | Trait: E | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0779, -0.0778, -0.0611, -0.0632, -0.0653]
Question #92   | Trait: O | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0793, -0.0898, -0.0711, -0.0722, -0.0655]
Question #93   | Trait: A | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0769, -0.0856, -0.0753, -0.07, -0.0544]
Question #94   | Trait: C | Key: + | ANSWER: Very Inaccurate
-- Likelihood: [-0.0707, -0.0823, -0.0677, -0.066, -0.0629]
Question #95   | Trait: N | Key: - | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.1133, -0.0877, -0.0763, -0.0736, -0.0984]
Question #96   | Trait: E | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0891, -0.0852, -0.0751, -0.0731, -0.0679]
Question #97   | Trait: O | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0918, -0.0871, -0.0631, -0.068, -0.0684]
Question #98   | Trait: A | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0828, -0.0827, -0.0657, -0.0659, -0.0643]
Question #99   | Trait: C | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1193, -0.0922, -0.0726, -0.0748, -0.0938]
Question #100  | Trait: N | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0983, -0.1086, -0.0843, -0.0929, -0.0652]
Question #101  | Trait: E | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0794, -0.0773, -0.0655, -0.0602, -0.059]
Question #102  | Trait: O | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0699, -0.0739, -0.0638, -0.0605, -0.053]
Question #103  | Trait: A | Key: - | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0727, -0.0726, -0.0624, -0.0604, -0.0618]
Question #104  | Trait: C | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0583, -0.0952, -0.0901, -0.075, -0.0502]
Question #105  | Trait: N | Key: - | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0946, -0.0851, -0.0707, -0.0672, -0.0709]
Question #106  | Trait: E | Key: - | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0911, -0.0819, -0.0685, -0.0684, -0.077]
Question #107  | Trait: O | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0732, -0.076, -0.0651, -0.0649, -0.0646]
Question #108  | Trait: A | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0545, -0.0887, -0.0613, -0.065, -0.0401]
Question #109  | Trait: C | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0735, -0.0812, -0.0623, -0.0668, -0.0586]
Question #110  | Trait: N | Key: - | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0972, -0.0802, -0.0672, -0.0576, -0.0622]
Question #111  | Trait: E | Key: + | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1027, -0.1026, -0.078, -0.0814, -0.0809]
Question #112  | Trait: O | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0828, -0.0942, -0.076, -0.081, -0.0753]
Question #113  | Trait: A | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.0828, -0.0683, -0.0528, -0.0537, -0.0648]
Question #114  | Trait: C | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.1167, -0.1044, -0.0845, -0.0851, -0.0961]
Question #115  | Trait: N | Key: - | ANSWER: Neither Accurate Nor Inaccurate
-- Likelihood: [-0.122, -0.1017, -0.0805, -0.0848, -0.0875]
Question #116  | Trait: E | Key: + | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.089, -0.0825, -0.0656, -0.0654, -0.0681]
Question #117  | Trait: O | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0845, -0.0886, -0.0701, -0.0719, -0.0648]
Question #118  | Trait: A | Key: - | ANSWER: Moderately Inaccurate
-- Likelihood: [-0.0761, -0.0674, -0.0566, -0.0506, -0.0573]
Question #119  | Trait: C | Key: - | ANSWER: Very Inaccurate
-- Likelihood: [-0.0831, -0.1092, -0.0801, -0.0923, -0.0671]
--------------------------------------
OCEAN SCORES STATS
O | MEAN: 0.375 | STD: 2.3556129932403564
C | MEAN: -0.125 | STD: 2.23241925239563
E | MEAN: 1.0 | STD: 1.9560385942459106
A | MEAN: -0.875 | STD: 2.2518107891082764
N | MEAN: 0.6666666865348816 | STD: 2.1196117401123047
--------------------------------------
OTHER INTERESTING STATS
ANSWERS                         | Count
Very Accurate                   |   6
Moderately Accurate             |   0
Neither Accurate Nor Inaccurate |   35
Moderately Inaccurate           |   21
Very Inaccurate                 |   58
--------------------------------------
TRAITS-LEVEL STATS: SCORE DISTRIBUTION
Trait: O | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    0 |    0 |    4 |    0 |    8 |   4 |   1 |   6 |   0 |   1 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
Trait: C | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    1 |    0 |    3 |    1 |    8 |   6 |   0 |   5 |   0 |   0 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
Trait: E | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    0 |    0 |    1 |    3 |    2 |   8 |   5 |   4 |   0 |   1 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
Trait: A | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    1 |    0 |    5 |    4 |    7 |   4 |   1 |   1 |   0 |   1 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
Trait: N | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    0 |    0 |    2 |    4 |    1 |  10 |   2 |   4 |   0 |   1 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
