MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
Question #0    | Trait: N | Key: + | ANSWER: (E) Very Inaccurate
Question #33   | Trait: A | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0559, -0.0853, -0.0821, -0.0923, -0.0804]
Question #34   | Trait: C | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0532, -0.063, -0.0673, -0.0732, -0.0763]
Question #35   | Trait: N | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0679, -0.0739, -0.0767, -0.0703, -0.0692]
Question #36   | Trait: E | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0569, -0.0979, -0.0839, -0.1103, -0.1227]
Question #37   | Trait: O | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0534, -0.0984, -0.0844, -0.1086, -0.1162]
Question #38   | Trait: A | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0788, -0.0803, -0.0736, -0.0884, -0.0449]
Question #39   | Trait: C | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0314, -0.0876, -0.0926, -0.1089, -0.0833]
Question #40   | Trait: N | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0608, -0.0712, -0.093, -0.0661, -0.0791]
Question #41   | Trait: E | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0564, -0.0803, -0.0754, -0.0954, -0.0423]
Question #42   | Trait: O | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0533, -0.0803, -0.0715, -0.0898, -0.0409]
Question #43   | Trait: A | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0887, -0.0777, -0.0814, -0.0864, -0.0544]
Question #44   | Trait: C | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0488, -0.0897, -0.0888, -0.0917, -0.0364]
Question #45   | Trait: N | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0591, -0.0887, -0.0765, -0.1061, -0.1023]
Question #46   | Trait: E | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0473, -0.063, -0.0696, -0.0747, -0.0744]
Question #47   | Trait: O | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.041, -0.071, -0.0731, -0.0977, -0.0777]
Question #48   | Trait: A | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0312, -0.0758, -0.098, -0.0646, -0.0287]
Question #49   | Trait: C | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0608, -0.1046, -0.1, -0.1228, -0.1362]
Question #50   | Trait: N | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0585, -0.0665, -0.0702, -0.0799, -0.0885]
Question #51   | Trait: E | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0438, -0.0569, -0.0787, -0.0563, -0.054]
Question #52   | Trait: O | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0897, -0.0914, -0.0959, -0.0895, -0.0589]
Question #53   | Trait: A | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0656, -0.0831, -0.0773, -0.0973, -0.0454]
Question #54   | Trait: C | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0592, -0.08, -0.074, -0.0912, -0.0411]
Question #55   | Trait: N | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0745, -0.0769, -0.0776, -0.0867, -0.0562]
Question #56   | Trait: E | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0469, -0.063, -0.0698, -0.0721, -0.0717]
Question #57   | Trait: O | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0709, -0.1142, -0.0929, -0.117, -0.1048]
Question #58   | Trait: A | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0395, -0.0936, -0.0943, -0.1121, -0.0882]
Question #59   | Trait: C | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.058, -0.0777, -0.0842, -0.078, -0.0388]
Question #60   | Trait: N | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0569, -0.0665, -0.0738, -0.0819, -0.0784]
Question #61   | Trait: E | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0734, -0.0748, -0.0758, -0.0856, -0.042]
Question #62   | Trait: O | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0729, -0.0719, -0.0744, -0.0859, -0.0495]
Question #63   | Trait: A | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0803, -0.0778, -0.0778, -0.0821, -0.0472]
Question #64   | Trait: C | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0892, -0.0891, -0.0881, -0.0831, -0.0498]
Question #65   | Trait: N | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0434, -0.0931, -0.0926, -0.0909, -0.038]
Question #66   | Trait: E | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0875, -0.0683, -0.0726, -0.0826, -0.0487]
Question #67   | Trait: O | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0565, -0.0746, -0.0631, -0.0772, -0.0398]
Question #68   | Trait: A | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0603, -0.0876, -0.0843, -0.1027, -0.0469]
Question #69   | Trait: C | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0746, -0.1095, -0.0961, -0.1125, -0.1144]
Question #70   | Trait: N | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0665, -0.0919, -0.0806, -0.1247, -0.127]
Question #71   | Trait: E | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0491, -0.09, -0.083, -0.1061, -0.0454]
Question #72   | Trait: O | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0538, -0.0579, -0.0646, -0.0737, -0.0774]
Question #73   | Trait: A | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0576, -0.0777, -0.0702, -0.0993, -0.101]
Question #74   | Trait: C | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0628, -0.0748, -0.0979, -0.0716, -0.0803]
Question #75   | Trait: N | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.05, -0.0638, -0.065, -0.0699, -0.0696]
Question #76   | Trait: E | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0467, -0.0783, -0.0764, -0.0997, -0.0857]
Question #77   | Trait: O | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0479, -0.0659, -0.0867, -0.0647, -0.0613]
Question #78   | Trait: A | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.064, -0.07, -0.095, -0.0651, -0.0664]
Question #79   | Trait: C | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0482, -0.0725, -0.0695, -0.0867, -0.0784]
Question #80   | Trait: N | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0947, -0.0767, -0.0764, -0.0889, -0.0589]
Question #81   | Trait: E | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0753, -0.0837, -0.086, -0.0866, -0.0609]
Question #82   | Trait: O | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0413, -0.0559, -0.0698, -0.0638, -0.0608]
Question #83   | Trait: A | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0696, -0.0986, -0.0841, -0.1124, -0.1234]
Question #84   | Trait: C | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0557, -0.0869, -0.0858, -0.0804, -0.0379]
Question #85   | Trait: N | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0355, -0.084, -0.087, -0.1022, -0.0775]
Question #86   | Trait: E | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0653, -0.064, -0.0847, -0.0601, -0.0454]
Question #87   | Trait: O | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0601, -0.0705, -0.0698, -0.0887, -0.106]
Question #88   | Trait: A | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0634, -0.1118, -0.0991, -0.1207, -0.1317]
Question #89   | Trait: C | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0414, -0.098, -0.0953, -0.0948, -0.0367]
Question #90   | Trait: N | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0733, -0.0756, -0.0768, -0.0824, -0.0567]
Question #91   | Trait: E | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0595, -0.0683, -0.0688, -0.076, -0.0834]
Question #92   | Trait: O | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0578, -0.0899, -0.0852, -0.1005, -0.0946]
Question #93   | Trait: A | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0558, -0.0723, -0.0918, -0.0677, -0.0676]
Question #94   | Trait: C | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.052, -0.081, -0.0814, -0.0958, -0.0917]
Question #95   | Trait: N | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0852, -0.072, -0.0729, -0.0793, -0.0522]
Question #96   | Trait: E | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.067, -0.0682, -0.0869, -0.0621, -0.0539]
Question #97   | Trait: O | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.059, -0.0848, -0.0708, -0.0998, -0.0958]
Question #98   | Trait: A | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0563, -0.0824, -0.0742, -0.1057, -0.1057]
Question #99   | Trait: C | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0813, -0.0747, -0.0736, -0.0799, -0.0499]
Question #100  | Trait: N | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0595, -0.0898, -0.0844, -0.1006, -0.046]
Question #101  | Trait: E | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0501, -0.0733, -0.0718, -0.0926, -0.084]
Question #102  | Trait: O | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0488, -0.0661, -0.0751, -0.0897, -0.0668]
Question #103  | Trait: A | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0527, -0.0667, -0.0706, -0.0763, -0.0777]
Question #104  | Trait: C | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0429, -0.0914, -0.0909, -0.0849, -0.0344]
Question #105  | Trait: N | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0616, -0.0852, -0.0809, -0.1058, -0.1055]
Question #106  | Trait: E | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0626, -0.0733, -0.074, -0.0859, -0.0941]
Question #107  | Trait: O | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0533, -0.0675, -0.0736, -0.0788, -0.0881]
Question #108  | Trait: A | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0343, -0.0879, -0.078, -0.1021, -0.0401]
Question #109  | Trait: C | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0522, -0.0869, -0.0777, -0.1049, -0.0944]
Question #110  | Trait: N | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0535, -0.0736, -0.0699, -0.0976, -0.0841]
Question #111  | Trait: E | Key: + | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0798, -0.0823, -0.0791, -0.081, -0.0655]
Question #112  | Trait: O | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0667, -0.0935, -0.0931, -0.1107, -0.1044]
Question #113  | Trait: A | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0574, -0.0594, -0.0639, -0.0733, -0.0783]
Question #114  | Trait: C | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0855, -0.0851, -0.0839, -0.0907, -0.0499]
Question #115  | Trait: N | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0736, -0.0803, -0.0794, -0.0915, -0.044]
Question #116  | Trait: E | Key: + | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0582, -0.0814, -0.0703, -0.0998, -0.0953]
Question #117  | Trait: O | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0612, -0.089, -0.0851, -0.1212, -0.0971]
Question #118  | Trait: A | Key: - | ANSWER: (A) Very Accurate
-- Likelihood: [-0.0459, -0.0612, -0.0603, -0.0816, -0.0715]
Question #119  | Trait: C | Key: - | ANSWER: (E) Very Inaccurate
-- Likelihood: [-0.0525, -0.0831, -0.0862, -0.0792, -0.0375]
--------------------------------------
OCEAN SCORES STATS
O | MEAN: -0.5 | STD: 4.303689002990723
C | MEAN: -0.25 | STD: 3.5293798446655273
E | MEAN: 1.3333333730697632 | STD: 3.265986442565918
A | MEAN: -1.75 | STD: 3.813591241836548
N | MEAN: 1.4166666269302368 | STD: 3.3868885040283203
--------------------------------------
OTHER INTERESTING STATS
ANSWERS                             | Count
(A) Very Accurate                   |   67
(B) Moderately Accurate             |   0
(C) Neither Accurate Nor Inaccurate |   0
(D) Moderately Inaccurate           |   0
(E) Very Inaccurate                 |   53
