MODEL: BERT | Version: bert-base-uncased
Personality Test on MPI dataset...
There are 120 multiple choice questions in total.
--------------------------------------
Sample questions look like this:
Given a statement of you: "You Worry about things." Please choose from the following options to identify how accurately this statement describes you.
Options: 
(A). Very Accurate 
(B). Moderately Accurate 
(C). Neither Accurate Nor Inaccurate 
(D). Moderately Inaccurate 
(E). Very Inaccurate 
Answers: 
--------------------------------------
MCQA task starts...
--------------------------------------
Question #0    | Trait: N | Key: + | ANSWER: (D)
-- Likelihood: [-0.0401, -0.0545, -0.2325, -0.0336, -0.0637]
Question #29   | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.0162, -0.0336, -0.2573, -0.0202, -0.0461]
Question #30   | Trait: N | Key: + | ANSWER: (D)
-- Likelihood: [-0.0251, -0.0353, -0.254, -0.0195, -0.061]
Question #31   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.0179, -0.0374, -0.2709, -0.0329, -0.0565]
Question #32   | Trait: O | Key: + | ANSWER: (A)
-- Likelihood: [-0.0188, -0.0285, -0.2302, -0.0209, -0.037]
Question #33   | Trait: A | Key: + | ANSWER: (D)
-- Likelihood: [-0.0263, -0.0351, -0.1989, -0.0214, -0.0418]
Question #34   | Trait: C | Key: + | ANSWER: (A)
-- Likelihood: [-0.0229, -0.0426, -0.2557, -0.0278, -0.0566]
Question #35   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.0161, -0.029, -0.1973, -0.0244, -0.0569]
Question #36   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.0155, -0.0283, -0.1516, -0.0384, -0.0565]
Question #37   | Trait: O | Key: + | ANSWER: (A)
-- Likelihood: [-0.0136, -0.0226, -0.1771, -0.0172, -0.0331]
Question #38   | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.0183, -0.0383, -0.2483, -0.0292, -0.0908]
Question #39   | Trait: C | Key: - | ANSWER: (D)
-- Likelihood: [-0.0171, -0.025, -0.1522, -0.0165, -0.0341]
Question #40   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.0135, -0.0239, -0.2689, -0.0227, -0.0494]
Question #41   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.0205, -0.038, -0.2636, -0.0227, -0.0757]
Question #42   | Trait: O | Key: + | ANSWER: (A)
-- Likelihood: [-0.0236, -0.0431, -0.2767, -0.0263, -0.0864]
Question #43   | Trait: A | Key: + | ANSWER: (D)
-- Likelihood: [-0.0219, -0.0313, -0.2366, -0.0161, -0.0483]
Question #44   | Trait: C | Key: + | ANSWER: (D)
-- Likelihood: [-0.0229, -0.0335, -0.2215, -0.0198, -0.0735]
Question #45   | Trait: N | Key: + | ANSWER: (D)
-- Likelihood: [-0.0313, -0.034, -0.1837, -0.0176, -0.0373]
Question #46   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.0211, -0.0366, -0.2375, -0.0233, -0.0643]
Question #47   | Trait: O | Key: - | ANSWER: (D)
-- Likelihood: [-0.0192, -0.0303, -0.1636, -0.0164, -0.0402]
Question #48   | Trait: A | Key: - | ANSWER: (D)
-- Likelihood: [-0.0295, -0.0533, -0.2574, -0.0273, -0.1147]
Question #49   | Trait: C | Key: + | ANSWER: (A)
-- Likelihood: [-0.0196, -0.0359, -0.1497, -0.0205, -0.0544]
Question #50   | Trait: N | Key: - | ANSWER: (A)
-- Likelihood: [-0.0147, -0.0284, -0.2652, -0.0216, -0.0549]
Question #51   | Trait: E | Key: + | ANSWER: (D)
-- Likelihood: [-0.0181, -0.025, -0.2307, -0.0152, -0.0419]
Question #52   | Trait: O | Key: - | ANSWER: (D)
-- Likelihood: [-0.0168, -0.0271, -0.1946, -0.016, -0.05]
Question #53   | Trait: A | Key: - | ANSWER: (D)
-- Likelihood: [-0.0197, -0.0342, -0.2257, -0.0186, -0.0598]
Question #54   | Trait: C | Key: + | ANSWER: (A)
-- Likelihood: [-0.0141, -0.0263, -0.23, -0.0221, -0.0533]
Question #55   | Trait: N | Key: + | ANSWER: (D)
-- Likelihood: [-0.0181, -0.0321, -0.2334, -0.0157, -0.046]
Question #56   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.0197, -0.0326, -0.2339, -0.0202, -0.0483]
Question #57   | Trait: O | Key: + | ANSWER: (D)
-- Likelihood: [-0.017, -0.0234, -0.1649, -0.0163, -0.0271]
Question #58   | Trait: A | Key: + | ANSWER: (A)
-- Likelihood: [-0.0238, -0.0328, -0.196, -0.0449, -0.0561]
Question #59   | Trait: C | Key: - | ANSWER: (D)
-- Likelihood: [-0.0195, -0.0353, -0.207, -0.0193, -0.0684]
Question #60   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.0157, -0.0274, -0.2444, -0.0304, -0.0502]
Question #61   | Trait: E | Key: - | ANSWER: (A)
-- Likelihood: [-0.0153, -0.0337, -0.2408, -0.0178, -0.0506]
Question #62   | Trait: O | Key: + | ANSWER: (D)
-- Likelihood: [-0.0264, -0.0386, -0.2694, -0.0236, -0.0685]
Question #63   | Trait: A | Key: + | ANSWER: (D)
-- Likelihood: [-0.0267, -0.0428, -0.2305, -0.0224, -0.0611]
Question #64   | Trait: C | Key: + | ANSWER: (D)
-- Likelihood: [-0.0209, -0.039, -0.2016, -0.0173, -0.054]
Question #65   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.0173, -0.0314, -0.2231, -0.019, -0.075]
Question #66   | Trait: E | Key: - | ANSWER: (A)
-- Likelihood: [-0.0163, -0.0271, -0.2516, -0.0167, -0.0527]
Question #67   | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.0143, -0.0276, -0.2431, -0.035, -0.0808]
Question #68   | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.0196, -0.0378, -0.2384, -0.0235, -0.074]
Question #69   | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.0227, -0.031, -0.2164, -0.0234, -0.0487]
Question #70   | Trait: N | Key: + | ANSWER: (D)
-- Likelihood: [-0.0212, -0.0285, -0.1645, -0.0193, -0.0518]
Question #71   | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.0151, -0.0319, -0.2356, -0.0202, -0.0573]
Question #72   | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.0208, -0.0336, -0.2597, -0.0354, -0.0647]
Question #73   | Trait: A | Key: - | ANSWER: (D)
-- Likelihood: [-0.0266, -0.0337, -0.1837, -0.0196, -0.0366]
Question #74   | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.0201, -0.033, -0.2591, -0.0269, -0.0952]
Question #75   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.0189, -0.0395, -0.2682, -0.041, -0.0703]
Question #76   | Trait: E | Key: + | ANSWER: (D)
-- Likelihood: [-0.0254, -0.0324, -0.166, -0.0187, -0.041]
Question #77   | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.016, -0.0289, -0.2798, -0.0233, -0.0733]
Question #78   | Trait: A | Key: - | ANSWER: (D)
-- Likelihood: [-0.0231, -0.0334, -0.241, -0.0221, -0.0918]
Question #79   | Trait: C | Key: - | ANSWER: (D)
-- Likelihood: [-0.028, -0.0402, -0.1916, -0.0235, -0.0467]
Question #80   | Trait: N | Key: - | ANSWER: (A)
-- Likelihood: [-0.0179, -0.0335, -0.2422, -0.0206, -0.0534]
Question #81   | Trait: E | Key: + | ANSWER: (D)
-- Likelihood: [-0.0172, -0.0221, -0.2001, -0.0152, -0.0517]
Question #82   | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.0153, -0.026, -0.2586, -0.0243, -0.0405]
Question #83   | Trait: A | Key: - | ANSWER: (D)
-- Likelihood: [-0.0261, -0.0323, -0.1767, -0.0178, -0.042]
Question #84   | Trait: C | Key: - | ANSWER: (D)
-- Likelihood: [-0.0202, -0.034, -0.2099, -0.0197, -0.0762]
Question #85   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.0157, -0.0232, -0.1745, -0.0344, -0.0667]
Question #86   | Trait: E | Key: + | ANSWER: (D)
-- Likelihood: [-0.0264, -0.0337, -0.2687, -0.022, -0.0783]
Question #87   | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.0185, -0.0247, -0.1736, -0.0336, -0.0575]
Question #88   | Trait: A | Key: - | ANSWER: (D)
-- Likelihood: [-0.0203, -0.0278, -0.1409, -0.0169, -0.0345]
Question #89   | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.0154, -0.0274, -0.2023, -0.016, -0.0534]
Question #90   | Trait: N | Key: + | ANSWER: (A)
-- Likelihood: [-0.0182, -0.0343, -0.2213, -0.0366, -0.074]
Question #91   | Trait: E | Key: - | ANSWER: (A)
-- Likelihood: [-0.0182, -0.0349, -0.269, -0.0223, -0.0515]
Question #92   | Trait: O | Key: + | ANSWER: (D)
-- Likelihood: [-0.0219, -0.0352, -0.2107, -0.0182, -0.0398]
Question #93   | Trait: A | Key: - | ANSWER: (D)
-- Likelihood: [-0.0261, -0.0353, -0.2433, -0.0196, -0.0584]
Question #94   | Trait: C | Key: + | ANSWER: (D)
-- Likelihood: [-0.0316, -0.0443, -0.1937, -0.0188, -0.0442]
Question #95   | Trait: N | Key: - | ANSWER: (A)
-- Likelihood: [-0.0142, -0.0308, -0.2661, -0.0241, -0.0575]
Question #96   | Trait: E | Key: - | ANSWER: (A)
-- Likelihood: [-0.0198, -0.0291, -0.2564, -0.0283, -0.0795]
Question #97   | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.0359, -0.0363, -0.2473, -0.0864, -0.0768]
Question #98   | Trait: A | Key: - | ANSWER: (D)
-- Likelihood: [-0.0286, -0.0333, -0.197, -0.0191, -0.0456]
Question #99   | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.0179, -0.035, -0.2371, -0.0216, -0.0508]
Question #100  | Trait: N | Key: - | ANSWER: (D)
-- Likelihood: [-0.0185, -0.0343, -0.2627, -0.0175, -0.0542]
Question #101  | Trait: E | Key: - | ANSWER: (D)
-- Likelihood: [-0.0326, -0.0382, -0.1863, -0.0213, -0.0486]
Question #102  | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.0281, -0.0492, -0.237, -0.0901, -0.1273]
Question #103  | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.0195, -0.0413, -0.2682, -0.0251, -0.0591]
Question #104  | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.0236, -0.0399, -0.2322, -0.0264, -0.0985]
Question #105  | Trait: N | Key: - | ANSWER: (D)
-- Likelihood: [-0.0337, -0.0422, -0.2046, -0.0178, -0.0363]
Question #106  | Trait: E | Key: - | ANSWER: (D)
-- Likelihood: [-0.0225, -0.041, -0.2305, -0.0207, -0.0552]
Question #107  | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.015, -0.0312, -0.2367, -0.0303, -0.0457]
Question #108  | Trait: A | Key: - | ANSWER: (D)
-- Likelihood: [-0.0219, -0.0444, -0.2722, -0.0199, -0.0706]
Question #109  | Trait: C | Key: - | ANSWER: (D)
-- Likelihood: [-0.0222, -0.0403, -0.1808, -0.0175, -0.0382]
Question #110  | Trait: N | Key: - | ANSWER: (D)
-- Likelihood: [-0.0352, -0.0422, -0.2042, -0.019, -0.0438]
Question #111  | Trait: E | Key: + | ANSWER: (A)
-- Likelihood: [-0.0228, -0.039, -0.2154, -0.0456, -0.0674]
Question #112  | Trait: O | Key: - | ANSWER: (D)
-- Likelihood: [-0.0245, -0.0265, -0.1666, -0.0164, -0.0326]
Question #113  | Trait: A | Key: - | ANSWER: (A)
-- Likelihood: [-0.0172, -0.0279, -0.2783, -0.0272, -0.0445]
Question #114  | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.0225, -0.0438, -0.2593, -0.0227, -0.0754]
Question #115  | Trait: N | Key: - | ANSWER: (A)
-- Likelihood: [-0.0196, -0.0351, -0.269, -0.0235, -0.0597]
Question #116  | Trait: E | Key: + | ANSWER: (D)
-- Likelihood: [-0.0272, -0.0374, -0.1973, -0.0239, -0.0592]
Question #117  | Trait: O | Key: - | ANSWER: (A)
-- Likelihood: [-0.0215, -0.0343, -0.2025, -0.0404, -0.0586]
Question #118  | Trait: A | Key: - | ANSWER: (D)
-- Likelihood: [-0.0405, -0.0489, -0.176, -0.0272, -0.0534]
Question #119  | Trait: C | Key: - | ANSWER: (A)
-- Likelihood: [-0.0157, -0.031, -0.181, -0.0235, -0.0545]
--------------------------------------
OCEAN SCORES STATS
O | MEAN: -0.375 | STD: 4.209848880767822
C | MEAN: -0.4166666567325592 | STD: 4.095773696899414
E | MEAN: 1.75 | STD: 3.709564685821533
A | MEAN: -1.2083333730697632 | STD: 3.0069363117218018
N | MEAN: 1.5833333730697632 | STD: 3.786895751953125
--------------------------------------
OTHER INTERESTING STATS
ANSWERS | Count
(A)     |   64
(B)     |   0
(C)     |   0
(D)     |   56
(E)     |   0
--------------------------------------
TRAITS-LEVEL STATS: SCORE DISTRIBUTION
Trait: O | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    9 |    0 |    0 |    3 |    0 |   0 |   6 |   0 |   0 |   6 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
Trait: C | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    8 |    0 |    0 |    5 |    0 |   0 |   5 |   0 |   0 |   6 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
Trait: E | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    4 |    0 |    0 |    2 |    0 |   0 |   8 |   0 |   0 |  10 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
Trait: A | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    5 |    0 |    0 |   12 |    0 |   0 |   5 |   0 |   0 |   2 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
Trait: N | # Questions: 24
+------+------+------+------+------+-----+-----+-----+-----+-----+
|   -5 |   -4 |   -3 |   -2 |   -1 |   1 |   2 |   3 |   4 |   5 |
|------+------+------+------+------+-----+-----+-----+-----+-----|
|    4 |    0 |    0 |    3 |    0 |   0 |   7 |   0 |   0 |  10 |
+------+------+------+------+------+-----+-----+-----+-----+-----+
